Location,Code
"Aalborg, Denmark ",AAL
"Aalesund, Norway ",AES
"Aarhus, Denmark - Bus service ",ZID
"Aarhus, Denmark - Tirstrup ",AAR
"Aasiaat, Greenland ",JEG
"Abadan, Iran ",ABD
"Abakan, Russia ",ABA
"Abbotsford, BC ",YXX
"Aberdeen, SD ",ABR
"Aberdeen, United Kingdom ",ABZ
"Abha, Saudi Arabia ",AHB
"Abidjan, Cote d'Ivoire ",ABJ
"Abilene, TX ",ABI
"Abu Dhabi, United Arab Emirates ",AUH
"Abu Simbel, Egypt ",ABS
"Abuja, Nigeria ",ABV
"Acapulco, Mexico ",ACA
"Acarigua, Venezuela ",AGV
"Accra, Ghana ",ACC
"Adak Island, AK ",ADK
"Adana, Turkey ",ADA
"Addis Ababa, Ethopia ",ADD
"Adelaide, Australia ",ADL
"Aden, Yemen ",ADE
"Adler/Sochi, Russia ",AER
"Adrar, Algeria ",AZR
"Afutara, Soloman Islands ",AFT
"Agadir, Morocco ",AGA
"Agartala, India ",IXA
"Agaun, Papua New Guinea ",AUP
"Agen, France ",AGF
"Agra, India ",AGR
"Agri, Turkey ",AJI
"Aguadilla, Puerto Rico ",BQN
"Aguascalientes, Mexico ",AGU
"Aguni, Japan ",AGJ
"Ahmedabad, India ",AMD
"Ahwaz, Iran ",AWZ
"Ailuk Island, Marshall Islands ",AIM
"Aioun El Atrouss, Mauritania ",AEO
"Airok, Marshall Islands ",AIC
"Aitutaki, Cook Islands ",AIT
"Aizawl, India ",AJL
"Ajaccio, France ",AJA
"Akiachak, AK ",KKI
"Akiak, AK ",AKI
"Akita, Japan ",AXT
"Akron/Canton, OH ",CAK
"Aksu, China ",AKU
"Aktyubinsk, Kazakhstan ",AKX
"Akulivik, QC ",AKV
"Akureyri, Iceland ",AEY
"Akuton, AK ",KQA
"Al Ain, United Arab Emirates ",AAN
"Al Arish, Egypt ",AAC
"Al Ghaydah, Yemen ",AAY
"Al Hoceima, Morocco ",AHU
"Alakanuk, AK ",AUK
"Alamogordo, NM ",ALM
"Alamosa, CO ",ALS
"Al-Baha, Saudi Arabia ",ABT
"Albany, NY ",ALB
"Albany, OR - Bus service ",CVO
"Albany, OR - Bus service ",QWY
"Albuquerque, NM ",ABQ
"Albury, Australia ",ABX
"Alderney, United Kingdom ",ACI
"Aldershot, ON - Rail service ",XLY
"Aleknagik, AK ",WKK
"Aleppo, Syrian Arab Republic ",ALP
"Alexander Bay, South Africa ",ALJ
"Alexandria, Egypt ",ALY
"Alexandria, LA ",AEX
"Alexandria,ON - Rail service ",XFS
"Alexandroupolis, Greece ",AXD
"Al-Fujairah, United Arab Emirates ",FJR
"Alghero, Italy ",AHO
"Algiers, Algeria ",ALG
"Alicante, Spain ",ALC
"Alice Springs, Australia ",ASP
"Allakaket, AK ",AET
"Allentown, PA ",ABE
"Alliance, NE ",AIA
"Alma, QC ",YTF
"Almaty, Kazakhstan ",AKX
"Almeria, Spain ",LEI
"Alor Island, Indonesia ",ARD
"Alorsetar, Malaysia ",AOR
"Alotau, Papua New Guinea ",GUR
"Alpena, MI ",APN
"Alta, Norway ",ALF
"Altamira, Brazil ",ATM
"Altay, China ",AAT
"Altenrhein, Switzerland ",ACH
"Alto Rio Senguerr, Argentina ",ARR
"Altoona, PA ",AOO
"Amami O Shima, Japan ",ASJ
"Amarillo, TX ",AMA
"Amazon Bay, Papua New Guinea ",AZB
"Ambanja, Madagascar ",IVA
"Ambatomainty, Madagascar ",AMY
"Ambatondrazaka, Madagascar ",WAM
"Ambler, AK ",ABL
"Ambon, Indonesia ",AMQ
"Amboseli, Kenya ",ASV
"Amderma, Russia ",AMV
"Amman, Jordan - Civil/Marka Airport ",ADJ
"Amman, Jordan - Queen Alia International ",AMM
"Amritsar, India ",ATQ
"Amsterdam, Netherlands ",AMS
"Anadyr, Russia ",DYR
"Anahim Lake, BC ",YAA
"Anaktueuk, AK ",AKP
"Analalava, Madagascar ",HVA
"Anapa, Russia ",AAQ
"Anchorage, AK ",ANC
"Ancona, Italy ",AOI
"Andenes, Norway ",ANX
"Andizhan, Uzbekistan ",AZN
"Aneityum, Vanuatu ",AUY
"Angelholm/Helsingborg, Sweden ",JHE
"Angers, France - Marce ",ANE
"Angers, France - Rail service ",QXG
"Anggi, Indonesia ",AGD
"Anging, China ",AQG
"Angling Lake, ON ",YAX
"Angoon, AK ",AGN
"Angouleme, France ",ANG
"Anguilla, Anguilla ",AXA
"Aniak, AK ",ANI
"Aniwa, Vanuatu ",AWD
"Ankang, China ",AKA
"Ankara, Turkey - Esenboga ",ESB
"Ankara, Turkey - Etimesqut ",ANK
"Ankavandra, Madagascar ",JVA
"Annaba, Algeria ",AAE
"Annecy, France ",NCY
"Antalaha, Madagascar ",ANM
"Antalya, Turkey ",AYT
"Antaninvarivo, Madgascar ",TNR
"Antigua, Antigua and Barbuda ",ANU
"Antofagasta, Chile ",ANF
"Antsalova, Madagascar ",WAQ
"Antsiranana, Madagascar ",DIE
"Antsohihy, Madagascar ",WAI
"Antwerp, Belgium - Bus service ",ZAY
"Antwerp, Belgium - Deurne Airport ",ANR
"Anvik, AK ",ANV
"Aomori, Japan ",AOJ
"Aosta, Italy ",AOT
"Apartado, Colombia ",APO
"Apia, Western Samoa ",APW
"Apia, Western Samoa ",FGI
"Appleton, WI ",ATW
"Aqaba, Jordan ",AQJ
"Araca, Brazil ",AJU
"Aracatuba, Brazil ",ARU
"Arad, Romania ",ARW
"Aragip, Papua New Guinea ",ARP
"Araguaina, Brazil ",AUX
"Arapoti, Brazil ",AAG
"Arar, Saudi Arabia ",RAE
"Arauca, Colombia ",AUC
"Arba Mintch, Ethiopia ",AMH
"Arcata, CA ",ACV
"Arctic Bay, NU ",YAB
"Arctic Village, AK ",ARC
"Ardabil, Iran ",ADU
"Arequipa, Peru ",AQP
"Argelholm/Helsingborg, Sweden ",AGH
"Argyle, Australia ",GYL
"Arica, Chile ",ARI
"Arkangelsk, Russia ",ARH
"Armenia, Colombia ",AXM
"Armidale, Australia ",ARM
"Arthur's Town, Bahamas ",ATC
"Arua, Uganda ",RUA
"Aruba, Aruba ",AUA
"Arusha, Tanzania ",ARK
"Arviat, NU ",YEK
"Arvidsjaur, Sweden ",AJR
"Asahikawa, Japan ",AKJ
"Asheville, NC ",AVL
"Ashgabat, Turkmenistan ",ASB
"Ashland, KY/Huntington, WV ",HTS
"Asmara, Eritrea ",ASM
"Asosa, Ethopia ",ASO
"Aspen, CO ",ASE
"Assiut, Egypt ",ATZ
"Astana, Kazakhstan ",TSE
"Astrakhan, Russia ",ASF
"Asturias, Spain and Canary Islands ",OVD
"Asuncion, Paraguay ",ASU
"Aswan, Egypt ",ASW
"Ataq, Yemen ",AXK
"Athens, GA ",AHN
"Athens, Greece ",ATH
"Atiu Island, Cook Islands ",AIU
"Atka, AK ",AKB
"Atlanta, GA ",ATL
"Atlantic City, NJ ",AIY
"Atoifi, Solomon Islands ",ATD
"Atqasuk, AK ",ATK
"Attawapiskat, ON ",YAT
"Atuona, French Polynesia ",AUQ
"Atyrau, Kazakhstan ",GUW
"Auckland, New Zealand ",AKL
"Augsburg/Munich, Germany ",AGB
"Augusta, GA ",AGS
"Augusta, ME ",AUG
"Auki, Solomon Islands ",AKS
"Aupaluk, QC ",YPJ
"Aur Island, Marshall Islands ",AUL
"Aurangabad, India ",IXU
"Aurillac, France ",AUR
"Aurukun, Australia ",AUU
"Austin, TX ",AUS
"Avignon, France ",AVN
"Ayawaki, Indonesia ",AYW
"Ayers Rock, Australia ",AYQ
"Babo, Indonesia ",BXB
"Bacolod, Philippines ",BCD
"Badajcz, Spain ",BJZ
"Bade, Indonesia ",BXD
"Badu Island, Australia ",BDD
"Bagdogra, India ",IXB
"Bagotville, QC ",YBG
"Baharpar, Ethiopia ",BJR
"Bahawalpur, Pakistan ",BHV
"Bahia Blanca, Argentina ",BHI
"Bahia Pinas, Panama ",BFQ
"Bahia Solano, Colombia ",BSC
"Bahrain, Bahrain ",BAH
"Baia Mare, Romania ",BAY
"Baie Comeau, QC ",YBC
"Baimuru, Papua New Guinea ",VMU
"Baker Lake, NU ",YBK
"Bakersfield, CA ",BFL
"Baku, Azerbaijan ",GYD
"Balalae, Solomon Islands ",BAS
"Balikesir, Turkey ",BZI
"Balikpapan, Indonesia ",BPN
"Balimo, Papua New Guinea ",OPU
"Ballina, Australia ",BNK
"Balmaceda, Chile ",BBA
"Baltimore, MD ",BWI
"Bam, Iran ",BXR
"Bamaga, Australia ",ABM
"Bamako, Mali ",BKO
"Banda Aceh, Indonesia ",BTJ
"Bandar Abbas, Iran ",BND
"Bandar Lampung, Indonesia - Branti ",TKG
"Bandar Lengeh, Iran ",BDH
"Bandar Seri Begawan, Brunei ",BWN
"Bandung, Indonesia ",BDO
"Bangalore, India ",BLR
"Bangda, China ",BPX
"Bangkok, Thailand ",BKK
"Bangor, ME ",BGR
"Banja Luka, Bosnia Herzegovina ",BNX
"Banjarmasin, Indonesia ",BDJ
"Banjul, Gambia ",BJL
"Banmethuot, Viet Nam - Phung-Doc ",BMV
"Bannu, Pakistan ",BNP
"Banqui, Central African Republic ",BGF
"Baoshan, China ",BSD
"Baotou, China ",BAV
"Bar Harbour, ME ",BHB
"Baracoa, Cuba ",BCA
"Barcaldine, Australia ",BCI
"Barcelona, Spain ",BCN
"Barcelona, Venezuela ",BLA
"Bardufoss, Norway ",BDU
"Bari, Italy ",BRI
"Barinas, Venezuela ",BNS
"Bario, Malaysia ",BBN
"Barisal, Bangladesh ",BZL
"Barnaul, Russia ",BAX
"Barquisimeto, Venezuela ",BRM
"Barra Colorado, Costa Rica ",BCL
"Barra, United Kingdom ",BRR
"Barran Cabermeja, Colombia ",EJA
"Barranquilla, Colombia ",BAQ
"Barreiras, Brazil ",BRA
"Barrow, AK ",BRW
"Barter Island, AK ",BTI
"Basco, Philippines ",BSO
"Basel, Switzerland ",BSL
"Basel/Mulhouse Railway Station, Switzerland ",ZDH
"Bashehr, Iran ",BUZ
"Bastia, France ",BIA
"Batam, Indonesia ",BTH
"Bathhurst, NB ",ZBF
"Bathurst Island, Australia ",BRT
"Bathurst, Australia ",BHS
"Batman, Turkey ",BAL
"Batna, Algeria ",BLJ
"Batom, Indonesia ",BXM
"Baton Rouge, LA ",BTR
"Batsfijord, Norway ",BJF
"Battambang, Cambodia ",BBM
"Batumi, Georgia ",BUS
"Batuna, Solomon Islands ",BPF
"Bauru, Brazil ",BAU
"Bay City, MI ",MBS
"Bayamo, Cuba ",BYM
"Bayreuth, Germany ",BYU
"Bearskin Lake, ON ",XBE
"Beaumont/Port Arthur, TX ",BPT
"Beaver Creek, CO - Van service ",ZBV
"Beaver, AK ",WBQ
"Bechar, Algeria ",CBH
"Beckley, WV ",BKW
"Bedford, MA ",BED
"Bedourie, Australia ",BEU
"Beef Island, British Virgin Islands ",EIS
"Beica, Ethiopia ",BEI
"Beida, Libya - La Braq ",LAQ
"Beihai, China ",BHY
"Beijing, China ",PEK
"Beira, Mozambique ",BEW
"Beirut, Lebanon ",BEY
"Bejaia, Algeria ",BJA
"Belaga, Mozambique ",BLG
"Belem, Brazil ",BEL
"Belep Island, New Caledonia ",BMY
"Belfast, Northern Ireland, United Kingdom ",BFS
"Belfast, United Kingdom ",BHD
"Belgorod, Russia ",EGO
"Belgrade, Serbia and Montenegro - Beograd ",BEG
"Belize City, Belize - International ",BZE
"Belize City, Belize - Municipal ",TZA
"Bella Bella, BC ",ZEL
"Bella Coola, BC ",QBC
"Belleville, IL ",BLV
"Belleville, ON - Rail service ",XVV
"Bellingham, WA ",BLI
"Bellona, Solomon Islands ",BNY
"Belo Horizonte, Brazil - Pampulha ",PLU
"Belo Horizonte, Brazil - Tancredo Neves Intl. ",CNF
"Belo, Madagascar ",BMD
"Bemidji, MN ",BJI
"Benbecula, United Kingdom ",BEB
"Benghazi, Libya ",BEN
"Bengkulu, Indonesia ",BKS
"Benton Harbor, MI ",BEH
"Berau, Indonesia ",BEJ
"Berbera, Somalia ",BBO
"Berens River, MB ",YBV
"Bergen, Norway ",BGO
"Bergerac, France ",EGC
"Berlevag, Norway ",BVG
"Berlin, Germany - All airports ",BER
"Berlin, Germany - Schoenefeld ",SXF
"Berlin, Germany - Tegel ",TXL
"Berlin, Germany - Tempelhof ",THF
"Bermuda, Bermuda ",BDA
"Berne, Switzerland - Belp Airport ",BRN
"Berne, Switzerland - Rail service ",ZDJ
"Besalampy, Madagascar ",BPY
"Bethel, AK ",BET
"Bethlehem, PA ",ABE
"Bettles, AK ",BTT
"Beziers, France ",BZR
"Bhadrapur, Nepal ",BDP
"Bhairawa, Nepal ",BWA
"Bhamo, Myanmar ",BMO
"Bharatpur, Nepal ",BHR
"Bhavnagar, India ",BHU
"Bhopal, India ",BHO
"Bhubaneswar, India ",BBI
"Bhuj, India ",BHJ
"Biak, Indonesia ",BIK
"Biarritz, France ",BIQ
"Big Trout, ON ",YTL
"Bikini Atoll, Marshall Islands ",BII
"Bilbao, Spain ",BIO
"Billings, MT ",BIL
"Billund, Denmark ",BLL
"Biloxi/Gulfport, MS ",GPT
"Bima, Indonesia ",BMU
"Bimini, Bahamas ",BIM
"Bimini, Bahamas ",NSB
"Binghamton, NY ",BGM
"Bintulu, Malaysia ",BTU
"Bintuni, Indonesia ",NTI
"Biratragar, Nepal ",BIR
"Birch Creek, AK ",KBC
"Birdsville, Australia ",BVI
"Birmingham, AL ",BHM
"Birmingham, United Kingdom ",BHX
"Bisha, Saudi Arabia ",BHH
"Bishkek, Kyrgyzstan ",FRU
"Biskra, Algeria ",BSK
"Bismarck, ND ",BIS
"Bissau, Guinea-Bissau ",OXB
"Black Tickle, NL ",YBI
"Blackall, Australia ",BKQ
"Blackpool, United Kingdom ",BLK
"Blackwater, Australia ",BLT
"Blagoveschensk, Russia ",BQS
"Blanc Sablon, QC ",YBX
"Blantyre, Malawi ",BLZ
"Blenheim, New Zealand ",BHE
"Blo Horizonte, Brazil ",CNF
"Block Island, RI ",BID
"Bloemfontein, South Africa ",BFN
"Bloomington, IL ",BMI
"Bluefield, WV ",BLF
"Boa Vista, Cape Verde ",BVC
"Boang, Papua New Guinea ",BOV
"Boavista, Brazil ",BVB
"Bocas Del Toro, Panama ",BOC
"Bodo, Norway ",BOO
"Bodrum, Turkey ",BJV
"Bogota, Colombia ",BOG
"Boiju Island, Australia ",GIC
"Boise, ID ",BOI
"Bojnord, Iran ",BJB
"Bokondini, Indonesia ",BUI
"Bol, Croatia ",BWK
"Bolzano, Italy ",BZO
"Boma, Congo ",BOA
"Bombay, India ",BOM
"Bonaire, Netherlands Antilles ",BON
"Bonaventure, QC ",YVB
"Bonn, Germany ",BNJ
"Bora Bora, French Polynesia ",BOB
"Bordeaux, France ",BOD
"Borg El Arab, Egypt ",HBE
"Borkum, Germany ",BMK
"Borlange, Sweden ",BLE
"Bornholm, Denmark ",RNN
"Borroloola, Australia ",BOX
"Bossaro, Somalia ",BSA
"Boston, MA ",BOS
"Boulder, CO - Bus service ",XHH
"Boulder, CO - Hiltons Har H ",WHH
"Boulder, CO - Municipal Airport ",WBU
"Boulia, Australia ",BQL
"Boundary, AK ",BYA
"Bourgas, Bulgaria ",BOJ
"Bourke, Australia ",BRK
"Bournemouth, United Kingdom ",BOH
"Bowling Green, KY ",BWG
"Bozeman, MT ",BZN
"Brack, Libya ",BCQ
"Bradford, PA ",BFD
"Brainerd, MN ",BRD
"Brampton Island, Australia ",BMP
"Brampton, ON - Rail service ",XPN
"Brandon, MB ",YBR
"Brantford, ON - Rail service ",XFV
"Brasilia, DF, Brazil ",BSB
"Bratislava, Slovakia ",BTS
"Bratsk, Russia ",BTK
"Braunschweig, Denmark ",BWE
"Brawnwood, TX ",BWD
"Brazzaville, Congo ",BZV
"Breckenridge, CO - Van service ",QKB
"Bremen, Germany ",BRE
"Brest, France ",BES
"Brewarrina, Australia ",BWQ
"Bridgetown, Barbados ",BGI
"Brindisi, Italy ",BDS
"Brisbane, Queensland, Australia ",BNE
"Bristol, United Kingdom ",BRS
"Bristol, VA ",TRI
"Brive-La-Gaillarde, France - Laroche",BVE
"Brno, Czech Republic - Bus service ",ZDN
"Brno, Czech Republic - Turany ",BRQ
"Brochet, MB ",YBT
"Brockville, ON ",XBR
"Broken Hill, Australia ",BHQ
"Bronnoysund, Norway ",BNN
"Brookings, SD ",BKX
"Brooks Lodge, AK ",RBH
"Broome, Australia ",BME
"Brownsville, TX ",BRO
"Brunswick, GA ",BQK
"Brus Laguna, Honduras ",BHG
"Brussels, Belgium - National ",BRU
"Brussels, Belgium - Rail service ",ZYR
"Brussels, Belguim - Charleroi ",CRL
"Bucaramanga, Colombia ",BGA
"Bucharest, Romania - Baneasa ",BBU
"Bucharest, Romania - Otopeni International ",OTP
"Buckland, AK ",BKC
"Budapest, Hungary ",BUD
"Buenos Aires, Argentina - Jorge Newbery ",AEP
"Buenos Aires, Argentina - Ministro Pistarini ",EZE
"Buffalo, NY ",BUF
"Bugulma, Russia ",UUA
"Bujumbura, Burundi ",BJM
"Buka, Papua New Guinea ",BUA
"Bukhara, Uzbekistan ",BHK
"Bukoba, Malaysia ",BKZ
"Bulawayo, Zimbabwe ",BUQ
"Bulgulma, Russia ",UUA
"Bullhead City/Laughlin, AZ ",IFP
"Bundaberg, Australia ",BDB
"Bunsil, Papua New Guinea ",BXZ
"Burao, Somalia ",BUO
"Burbank, CA ",BUR
"Bureta, Fiji ",LEV
"Buri Ram, Thailand ",BFV
"Burketown, Australia ",BUC
"Burlington, IA ",BRL
"Burlington, VT ",BTV
"Burnie, Australia ",BWT
"Burns Lake, BC ",YPZ
"Busan, South Korea - Gimhae ",PUS
"Butte, MT ",BTM
"Butuan, Philippines ",BXU
"Bydgoszcz, Poland ",BZG
"Cabo San Lucas, 'Los Cabos', Mexico ",SJD
"Caen, France ",CFR
"Cagayan De Oro, Philippines - Lumbia ",CGY
"Cagliari, Italy ",CAG
"Cairns, Australia ",CNS
"Cairo, Egypt ",CAI
"Cajamarca, Peru ",CJA
"Calabar, Nigeria ",CBQ
"Calama, Chile ",CJC
"Calcutta, India ",CCU
"Calgary, AB ",YYC
"Cali, Colombia ",CLO
"Calvi, France ",CLY
"Camaguey, Cuba ",CMW
"Cambridge Bay, NU ",YCB
"Cambridge, United Kingdom ",CBG
"Camodoro, Argentina ",CRD
"Campbell River, BC ",YBL
"Campbellton, NB - Rail service ",XAZ
"Campbeltown, United Kingdom ",CAL
"Campeche, Mexico ",CPE
"Campina Grande, Brazil ",CPV
"Campinas, Brazil ",CPQ
"Campo Grande, Brazil ",CGR
"Campos, Brazil ",CAW
"Canaima, Venezuela ",CAS
"Canberra, Australia ",CBR
"Cancun, Mexico ",CUN
"Cannes, France - Coisette Heliport ",JCA
"Cannes, France - Mandelieu ",CEQ
"Cannes, France - Vieux Port ",QYW
"Canouan, Saint Vincent and the Grenadines ",CIW
"Canton/Akron, OH ",CAK
"Cap Haitien, Haiti ",CAP
"Cape Dorset, NU ",YTE
"Cape Girardeau, MO ",CGI
"Cape Lisburne, AK ",LUR
"Cape Newenham, AK ",EHM
"Cape Orford, Papua New Guinea ",CPI
"Cape Town, South Africa ",CPT
"Cape Vogel, Papua New Guinea ",CVL
"Capreol, ON - Rail service ",XAW
"Caracas, Venezuela ",CCS
"Carajas, Brazil ",CKS
"Carbondale, IL ",MDH
"Carcassonne, France ",CCF
"Cardiff, United Kingdom ",CWL
"Carlsbad, CA ",CLD
"Carlsbad, NM ",CNM
"Carmel, CA ",MRY
"Carnarvon, Australia ",CVQ
"Carrillo, Costa Rica ",RIK
"Cartagena, Colombia ",CTG
"Cartwright, NL ",YRF
"Carupani, Venezuela ",CUP
"Casablanca, Morocco - Anfa ",CAS
"Casablanca, Morocco - Mohamed V ",CMN
"Cascavel, Brazil ",CAC
"Casino, Australia ",CSI
"Casper, WY ",CPR
"Casselman, ON - Rail service ",XZB
"Castaway, Fiji ",CST
"Castlegar, BC ",YCG
"Castres, France ",DCM
"Cat Lake, ON ",YAC
"Catamarca, Argentina ",CTC
"Catania, Italy ",CTA
"Caucasia, Colombia ",CAQ
"Caxias Do Sul, Brazil ",CXJ
"Cayenne, French Guiana ",CAY
"Cayman Brac Is, Cambodia ",CYB
"Cayo Largo Del Sur, Cuba ",CYO
"Cebu, Philippines - Matan International ",CEB
"Cedar City, UT ",CDC
"Cedar Rapids, IA ",CID
"Cedun, Australia ",CED
"Central, AK ",CEM
"Ceuta, Spain and Canary Islands ",JCU
"Chadron, NE ",CDR
"Chah-Bahar, Iran ",ZBR
"Chalkyitsik, AK ",CIK
"Chambery, France ",CMF
"Chambord, QC - Rail service ",XCI
"Champaign/Urbana, IL ",CMI
"Chandigarh, India ",IXC
"Chandler, QC - Rail service ",XDL
"Changchun, China ",CGQ
"Changde, China ",CGD
"Changuinda, Panama ",CHX
"Changzhou, China ",CZX
"Chania, Greece ",CHQ
"Chaoyang, China ",CHG
"Chapeco, Brazil ",XAP
"Chapleau, ON ",YLD
"Charleston, SC ",CHS
"Charleston, WV ",CRW
"Charleville, Australia ",CTL
"Charlotte, NC ",CLT
"Charlottesville, VA ",CHO
"Charlottetown, NL ",YHG
"Charlottetown, PE ",YYG
"Chatham Island, New Zealand ",CHT
"Chatham, ON ",XCM
"Chattanooga, TN ",CHA
"Cheboksary, Russia ",CSY
"Chefornak, AK ",CYF
"Chelybinsk, Russia ",CEK
"Chemainus, BC - Rail service ",XHS
"Chennai, India ",MAA
"Cheongju, South Korea ",CJJ
"Cherepovets, Russia ",CEE
"Chergdu, China ",CTU
"Chester, United Kingdom ",CEG
"Chesterfield Inlet, NU ",YCS
"Chetumal, Mexico ",CTM
"Chevak, AK ",VAK
"Chevepovets, Russia ",CEE
"Chevery, QC ",YHR
"Cheyenne, WY ",CYS
"Chi Mei, Taiwan ",CMJ
"Chiang Mai, Thailand ",CNX
"Chiang Rai, Thailand ",CEI
"Chiayi, Taiwan ",CYI
"Chibougamau, QC ",YMT
"Chicago, IL - All airports ",CHI
"Chicago, IL - Midway ",MDW
"Chicago, IL - O'Hare ",ORD
"Chicayo, Peru ",CIX
"Chicken, AK ",CKX
"Chico, CA ",CIC
"Chifeng, China ",CIF
"Chignik, AK - ",KCQ
"Chignik, AK - Fisheries ",KCG
"Chignik, AK - Lagoon ",KCL
"Chihuahua, Mexico ",CUU
"Chillan, Chile ",YAI
"Chipata, Zambia ",CIP
"Chisana, AK ",CZN
"Chisasibi, QC ",YKU
"Chisholm/Hibbing, MN ",HIB
"Chisinau, Republic of Moldova ",KIV
"Chita, Russia ",HTA
"Chitral, Pakistan ",CJL
"Chitre, Panama ",CTD
"Chittagong, Bangladesh ",CGP
"Choiseul Bay, Solomon Islands ",CHY
"Chongqing, China ",CKG
"Christchurch, New Zealand ",CHC
"Christmas Island, Christmas Island ",XCH
"Chuathbaluk, AK ",CHU
"Churchill Falls, NL ",ZUM
"Churchill, MB ",YYQ
"Churchill, MB - Rail service ",XAD
"Cicia, Fiji ",ICI
"Ciego De Avila, Cuba ",AVI
"Cincinnati, OH ",CVG
"Circle Hot Springs, AK ",CHP
"Circle, AK ",IRC
"Ciudad Bolivar, Venezuela ",CBL
"Ciudad Del Carmen, Mexico ",CME
"Ciudad del Este, Paraguay ",AGT
"Ciudad Juarez, Mexico ",CJS
"Ciudad Obregon, Mexico ",CEN
"Ciudad Victoria, Mexico ",CVM
"Clarks Point, AK ",CLP
"Clarksburg, WV ",CKB
"Clearwater/St Petersburg, FL ",PIE
"Clermont-ferrand, France ",CFE
"Cleve, Australia ",CVC
"Cleveland, OH ",CLE
"Cloncurry, Australia ",CNJ
"Clovis, NM ",CVN
"Club Makokola, Malawi ",CMK
"Cluj, Romania ",CLJ
"Clyde River, NU ",YCY
"Cobar, Australia ",CAZ
"Cobija, Bolivia ",CIJ
"Cobourg, ON - Rail service ",XGJ
"Cochabamba, Bolivia ",CBB
"Cochin, India ",COK
"Coconut Island, Australia ",CNC
"Cocos Islands, Cocos ",Keeling
"Cody/Yellowstone, WY ",COD
"Coen, Australia ",CUQ
"Coffee Point, AK ",CFA
"Coffman Cove, AK ",KCC
"Coffs Harbor, Australia ",CFS
"Coimbatore, India ",CJB
"Cold Bay, AK ",CDB
"Colima, Mexico ",CLQ
"College Station, TX ",CLL
"Cologne, Germany - Cologne/Bonn ",CGN
"Cologne, Germany - Rail service ",QKL
"Colombo, Sri Lanka ",CMB
"Colon, Panama ",ONX
"Colorado Springs, CO ",COS
"Columbia, MO ",COU
"Columbia, SC ",CAE
"Columbus, GA ",CSG
"Columbus, MS ",GTR
"Columbus, OH ",CMH
"Colville Lake, NT ",YCK
"Comox, BC ",YQQ
"Conakry, Guinea ",CKY
"Concepcion, Chile ",CCP
"Concord, CA ",CCR
"Concordia, Argentina ",COC
"Concordia, KS ",CNK
"Condoto, Colombia ",COG
"Constanta, Romania ",CND
"Constantine, Algeria ",CZL
"Contadora, Panama ",OTD
